2018-10-11 15:50:42.389[1539240642389] | DEBUG | qtp748771005-58 | m.api.common.server.ApiServerCore    - [FROM]: [114.236.238.230] POST /api/v3/order symbol:1539240640355 side:SELL quantity:0.061935 signature:433010da68112aff68cdac213eb78a7a4c75dd61ce41c245002b092966e1b99a price:0.1467 type:LIMIT timeInForce:GTC recvWindow:26 timestamp:1539240642345     [ACCT]: 2|3    [RESP]: 4/10000  proc:24.578705ms  proxy:-9999ms  session:-24ms  httpStatus:200 gzip {"symbol":"1539240640355","orderId":0,"clientOrderId":"qcrWrKMl50q6riDDdbQYPr","transactTime":1539240642373,"price":"0.1467","origQty":"0.061935","executedQty":"0.000000","cummulativeQuoteQty":"0.0000","status":"NEW","timeInForce":"GTC","type":"LIMIT","side":"SELL","fills":[]}
2018-10-11 15:50:42.473[1539240642473] | DEBUG | qtp748771005-58 | m.a.c.p.m.ApiMessagingService        - NEW ORDER clOrdId: 4OBJxK9GGd7QArEpqyqIGH -> [cId=WCZhHvnjqz_r1-4]
2018-10-11 15:50:42.478[1539240642478] | DEBUG | msgSrv-s0  | m.core.rmq.RmqSendNetworkConnector   - RMQ SEND THREAD: SEND of Network Envelope 1 of 1 for cId:[cId=WCZhHvnjqz_r1-4]
2018-10-11 15:50:42.478[1539240642478] | DEBUG | msgSrv-s0  | m.core.rmq.RmqSendNetworkConnector   - RMQ SEND THREAD: SEND of Message Envelope cId:[cId=WCZhHvnjqz_r1-4] route [] (parts:1) COMPLETE
2018-10-11 15:50:42.478[1539240642478] | DEBUG | msgSrv-s0  | m.a.c.p.m.c.NetworkConnectorSendRunnable - SEND THREAD: cId:[cId=WCZhHvnjqz_r1-4] SENT
2018-10-11 15:50:42.478[1539240642478] | TRACE | msgSrv-s0  | m.a.c.p.m.c.NetworkConnectorSendRunnable - Send thread's send queue size: 0
2018-10-11 15:50:42.482[1539240642482] | DEBUG | msgSrv-r   | m.core.rmq.RmqRecvNetworkConnector   - RMQ RECV THREAD: RECV of Network Envelope 1 of 1 for cId:[cId=WCZhHvnjqz_r1-4]
2018-10-11 15:50:42.482[1539240642482] | DEBUG | msgSrv-r   | m.core.rmq.RmqRecvNetworkConnector   - RMQ RECV THREAD: RECV of Message Envelope cId:[cId=WCZhHvnjqz_r1-4]
2018-10-11 15:50:42.482[1539240642482] | TRACE | msgSrv-r   | m.a.c.p.m.c.NetworkConnectorRecvRunnable - Recv Processor's CallbackProcessQueue size: 1
2018-10-11 15:50:42.482[1539240642482] | TRACE | recvDist   | m.a.c.p.m.core.RecvMsgDistRunnable   - RecvMsgDistRunnable's processQueue size: 0
2018-10-11 15:50:42.482[1539240642482] | TRACE | cached-tdl | m.a.c.p.m.core.TradeDataListener     - Trade Data's listener size: 0
2018-10-11 15:50:42.483[1539240642483] | DEBUG | qtp748771005-58 | m.a.c.service.order.OrderService     - clOrdId:4OBJxK9GGd7QArEpqyqIGH open:2018-10-11 15:50:42.473 JST afterLimiter:0ms afterRespRecv:10ms
2018-10-11 15:50:42.483[1539240642483] | DEBUG | qtp748771005-58 | m.api.common.server.ApiServerCore    - [FROM]: [81.136.197.70] POST /api/v3/order symbol:1539240640083 side:SELL quantity:0.906326 signature:3d3a4448a55b0f7417b472ae11b305b6e6a5096dbea386f685f9bcc1bbf0b4e6 price:0.1138 type:LIMIT timeInForce:GTC recvWindow:26 timestamp:1539240642443     [ACCT]: 1|2    [RESP]: 1/50  proc:16.822568ms  proxy:-9999ms  session:-17ms  httpStatus:200 gzip {"symbol":"1539240640083","orderId":2,"clientOrderId":"4OBJxK9GGd7QArEpqyqIGH","transactTime":1539240642477,"price":"0.1138","origQty":"0.906326","executedQty":"0.000000","cummulativeQuoteQty":"0.0000","status":"NEW","timeInForce":"GTC","type":"LIMIT","side":"SELL","fills":[]}
2018-10-11 15:50:42.558[1539240642558] | DEBUG | qtp748771005-58 | m.a.c.p.m.ApiMessagingService        - NEW ORDER clOrdId: y6g6LwNsaMjenkHeVXbp25 -> [cId=WCZhHvnjqz_r1-5]
2018-10-11 15:50:42.558[1539240642558] | DEBUG | msgSrv-s1  | m.core.rmq.RmqSendNetworkConnector   - RMQ SEND THREAD: SEND of Network Envelope 1 of 1 for cId:[cId=WCZhHvnjqz_r1-5]
2018-10-11 15:50:42.558[1539240642558] | DEBUG | msgSrv-s1  | m.core.rmq.RmqSendNetworkConnector   - RMQ SEND THREAD: SEND of Message Envelope cId:[cId=WCZhHvnjqz_r1-5] route [] (parts:1) COMPLETE
2018-10-11 15:50:42.558[1539240642558] | DEBUG | msgSrv-s1  | m.a.c.p.m.c.NetworkConnectorSendRunnable - SEND THREAD: cId:[cId=WCZhHvnjqz_r1-5] SENT
2018-10-11 15:50:42.558[1539240642558] | TRACE | msgSrv-s1  | m.a.c.p.m.c.NetworkConnectorSendRunnable - Send thread's send queue size: 0
2018-10-11 15:50:42.564[1539240642564] | DEBUG | msgSrv-r   | m.core.rmq.RmqRecvNetworkConnector   - RMQ RECV THREAD: RECV of Network Envelope 1 of 1 for cId:[cId=WCZhHvnjqz_r1-5]
